CustomerKey,Customer City,CustomerCountry,CustomerAlternateKey,FullName,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EducationLevel,Occupation,HouseOwnerFlag,NumberCarsOwned,DateFirstPurchase
11087,Chula Vista,United States,AW00011087,Tamara Liang,1963-04-02,Married,Female,70000.00,3,2,Partial College,Professional,0,0,2022-02-25
11088,San Diego,United States,AW00011088,Hunter Davis,1963-05-25,Married,Male,80000.00,2,1,Bachelors,Management,1,0,2022-01-13
11089,Long Beach,United States,AW00011089,Abigail Price,1962-08-05,Single,Female,80000.00,2,1,Bachelors,Management,1,1,2021-12-29
11090,Los Angeles,United States,AW00011090,Trevor Bryant,1968-12-13,Single,Male,90000.00,2,0,Partial College,Professional,1,1,2020-08-07
11091,Haney,Canada,AW00011091,Dalton Perez,1962-10-02,Married,Male,90000.00,2,0,Partial College,Professional,1,1,2022-01-29
11092,East Brisbane,Australia,AW00011092,Cheryl Diaz,1972-11-02,Married,Female,90000.00,2,2,Bachelors,Professional,1,0,2020-04-08
11093,Wollongong,Australia,AW00011093,Aimee He,1978-09-06,Married,Female,100000.00,0,0,Graduate Degree,Management,1,0,2020-04-07
11094,Cranbourne,Australia,AW00011094,Cedric Ma,1967-09-29,Single,Male,70000.00,1,0,Partial College,Skilled Manual,0,1,2022-04-07
11095,Port Macquarie,Australia,AW00011095,Chad Kumar,1968-02-29,Single,Male,70000.00,1,0,Partial College,Skilled Manual,1,1,2020-04-01
11096,North Sydney,Australia,AW00011096,Andrés Anand,1968-02-07,Married,Male,60000.00,1,0,Bachelors,Professional,1,1,2020-04-11
11097,Warrnambool,Australia,AW00011097,Edwin Nara,1972-10-23,Married,Male,60000.00,1,0,Partial College,Skilled Manual,1,1,2020-04-04
11098,Rhodes,Australia,AW00011098,Mallory Rubio,1966-10-29,Single,Female,60000.00,1,0,Partial College,Skilled Manual,0,1,2022-02-11
11099,Port Macquarie,Australia,AW00011099,Adam Ross,1966-09-05,Married,Male,60000.00,1,0,Bachelors,Professional,1,1,2020-04-07
11100,Cloverdale,Australia,AW00011100,Latasha Navarro,1966-03-15,Single,Female,60000.00,1,0,Partial College,Skilled Manual,1,1,2020-04-16
11101,Cranbourne,Australia,AW00011101,Abby Sai,1970-11-05,Single,Female,70000.00,0,0,Bachelors,Professional,0,1,2020-04-29
11102,Sydney,Australia,AW00011102,Julia Nelson,1970-10-19,Single,Female,80000.00,5,5,Bachelors,Professional,1,4,2022-07-16
11103,Darlinghurst,Australia,AW00011103,Cassie Chande,1981-04-12,Single,Female,70000.00,0,0,Bachelors,Professional,1,1,2020-04-15
11104,Gold Coast,Australia,AW00011104,Edgar Sara,1975-03-08,Married,Male,70000.00,0,0,Bachelors,Professional,0,1,2020-05-04
11105,Matraville,Australia,AW00011105,Candace Fernandez,1970-06-27,Single,Female,70000.00,0,0,Bachelors,Professional,0,1,2020-05-14
11106,Warrnambool,Australia,AW00011106,Jessie Liu,1970-03-11,Single,Male,70000.00,0,0,Bachelors,Professional,0,1,2020-05-18
11107,St. Leonards,Australia,AW00011107,Bianca Lin,1976-03-04,Married,Female,90000.00,1,0,Bachelors,Professional,1,1,2020-05-01
11108,Port Macquarie,Australia,AW00011108,Kari Alvarez,1969-01-10,Single,Female,70000.00,0,0,Bachelors,Professional,0,2,2020-05-03
11109,South Melbourne,Australia,AW00011109,Ruben Kapoor,1980-04-30,Single,Male,70000.00,0,0,Bachelors,Professional,0,2,2020-05-10
11110,Darlinghurst,Australia,AW00011110,Curtis Yang,1967-12-04,Married,Male,60000.00,1,0,Partial College,Skilled Manual,1,1,2020-05-01
11111,Geelong,Australia,AW00011111,Meredith Gutierrez,1967-08-23,Married,Female,60000.00,1,0,Partial College,Skilled Manual,1,1,2020-05-20
11112,Hervey Bay,Australia,AW00011112,Crystal Wang,1968-03-08,Married,Female,60000.00,1,0,Partial College,Skilled Manual,1,1,2020-05-25
11113,Perth,Australia,AW00011113,Micheal Blanco,1973-02-17,Married,Male,70000.00,5,4,Bachelors,Professional,1,2,2022-02-01
11114,Rhodes,Australia,AW00011114,Leslie Moreno,1967-11-25,Single,Female,70000.00,5,4,Partial College,Skilled Manual,1,2,2022-03-18
11115,St. Leonards,Australia,AW00011115,Alvin Cai,1967-08-12,Married,Male,70000.00,5,4,Partial College,Skilled Manual,1,2,2022-02-10
11116,Sydney,Australia,AW00011116,Clinton Carlson,1979-04-02,Married,Male,70000.00,5,4,Partial College,Skilled Manual,1,2,2022-03-15
11117,Matraville,Australia,AW00011117,April Deng,1966-08-21,Married,Female,70000.00,5,4,Partial College,Skilled Manual,1,3,2020-05-06
11118,Lavender Bay,Australia,AW00011118,Alvin Zeng,1962-12-31,Single,Male,80000.00,1,0,Partial College,Skilled Manual,0,1,2022-07-10
11119,Port Macquarie,Australia,AW00011119,Evan James,1940-10-07,Single,Male,30000.00,2,0,Partial College,Clerical,0,2,2022-02-03
11120,Sydney,Australia,AW00011120,Beth Jiménez,1942-02-06,Single,Female,40000.00,2,0,Bachelors,Management,1,1,2020-05-14
11121,Newcastle,Australia,AW00011121,Orlando Suarez,1966-05-18,Married,Male,70000.00,5,4,Partial College,Skilled Manual,1,3,2022-06-24
11122,North Sydney,Australia,AW00011122,Byron Vazquez,1965-09-30,Married,Male,70000.00,5,4,Partial College,Skilled Manual,1,3,2022-02-21
11123,Sunbury,Australia,AW00011123,Philip Alvarez,1965-12-18,Married,Male,70000.00,5,4,Partial College,Skilled Manual,1,3,2022-04-17
11124,Warrnambool,Australia,AW00011124,Ross Jordan,1968-07-23,Single,Male,80000.00,1,0,Partial College,Skilled Manual,1,1,2020-05-05
11125,Seaford,Australia,AW00011125,Dana Navarro,1961-10-06,Single,Female,70000.00,1,0,Partial College,Skilled Manual,1,1,2022-01-31
11126,North Ryde,Australia,AW00011126,Shaun Carson,1954-10-05,Married,Male,10000.00,2,1,High School,Skilled Manual,0,2,2020-05-28
11127,San Gabriel,United States,AW00011127,Jan Edwards,1981-04-19,Married,Female,40000.00,0,0,High School,Skilled Manual,1,1,2022-04-10
11128,Renton,United States,AW00011128,Samantha Long,1981-06-03,Married,Female,40000.00,0,0,High School,Skilled Manual,1,1,2022-06-19
11129,Sedro Woolley,United States,AW00011129,Julia Wright,1981-02-01,Single,Female,40000.00,0,0,High School,Skilled Manual,1,1,2020-08-06
11130,Lebanon,United States,AW00011130,Caroline Russell,1985-07-05,Married,Female,30000.00,0,0,High School,Skilled Manual,1,2,2022-12-09
11131,Haney,Canada,AW00011131,Amanda Rivera,1985-09-09,Married,Female,30000.00,0,0,High School,Skilled Manual,0,2,2022-10-18
11132,Langford,Canada,AW00011132,Melissa Richardson,1986-04-25,Single,Female,30000.00,0,0,High School,Skilled Manual,0,2,2022-04-09
11133,Lake Oswego,United States,AW00011133,Angela Griffin,1986-03-08,Single,Female,30000.00,0,0,Partial High School,Clerical,0,2,2022-12-30
11134,Perth,Australia,AW00011134,Larry Townsend,1957-02-22,Single,Male,10000.00,5,0,High School,Skilled Manual,1,2,2020-05-03
11135,Burlingame,United States,AW00011135,Marcus Harris,1985-05-02,Single,Male,30000.00,0,0,Partial High School,Clerical,0,2,2022-04-18
11136,Metchosin,Canada,AW00011136,Brianna Morgan,1984-04-24,Single,Female,40000.00,0,0,High School,Skilled Manual,0,2,2022-01-03
11137,Spokane,United States,AW00011137,Jasmine Taylor,1984-01-17,Married,Female,40000.00,0,0,High School,Skilled Manual,1,2,2022-07-31
11138,Glendale,United States,AW00011138,Lauren Davis,1984-03-14,Married,Female,40000.00,0,0,High School,Skilled Manual,0,2,2022-09-19
11139,Cloverdale,Australia,AW00011139,Tanya Moreno,1949-11-05,Single,Female,30000.00,2,0,Partial College,Clerical,0,2,2022-09-14
11140,Burbank,United States,AW00011140,Javier Alvarez,1982-08-11,Single,Male,30000.00,0,0,Partial High School,Clerical,0,2,2022-03-19
11141,Daly City,United States,AW00011141,Nicole Ramirez,1982-12-19,Married,Female,40000.00,0,0,High School,Skilled Manual,0,2,2022-05-16
11142,Langford,Canada,AW00011142,Eduardo Patterson,1983-02-11,Single,Male,40000.00,0,0,High School,Skilled Manual,0,2,2022-02-13
11143,Lakewood,United States,AW00011143,Jonathan Henderson,1982-08-04,Married,Male,40000.00,0,0,High School,Skilled Manual,1,2,2022-06-15
11144,Ballard,United States,AW00011144,Edward Hernandez,1985-03-08,Single,Male,40000.00,0,0,High School,Skilled Manual,0,2,2022-01-25
11145,Beaverton,United States,AW00011145,Jasmine Coleman,1985-06-06,Single,Female,40000.00,0,0,High School,Skilled Manual,0,2,2022-01-25
11146,Matraville,Australia,AW00011146,Karla Goel,1945-02-22,Single,Female,40000.00,2,0,Bachelors,Management,1,2,2022-02-05
11147,Warrnambool,Australia,AW00011147,Ernest Wu,1944-08-04,Married,Male,60000.00,2,0,Graduate Degree,Management,1,1,2020-05-13
11148,East Brisbane,Australia,AW00011148,Ross Vazquez,1947-02-13,Married,Male,40000.00,2,0,Bachelors,Management,1,2,2022-03-07
11149,Hervey Bay,Australia,AW00011149,Theodore Gill,1946-10-18,Married,Male,40000.00,2,0,Bachelors,Management,1,2,2022-06-04
11150,Sunbury,Australia,AW00011150,Russell Shen,1946-09-12,Single,Male,40000.00,2,0,Bachelors,Management,1,2,2022-03-27
11151,Sydney,Australia,AW00011151,Melinda Gill,1947-08-25,Single,Female,60000.00,2,0,Graduate Degree,Management,0,1,2020-05-15
11152,Puyallup,United States,AW00011152,James Williams,1981-07-09,Single,Male,40000.00,0,0,High School,Skilled Manual,1,2,2022-01-09
11153,Renton,United States,AW00011153,Angela James,1981-12-21,Married,Female,40000.00,0,0,High School,Skilled Manual,1,2,2022-03-29
11154,Woodburn,United States,AW00011154,Megan Walker,1982-02-18,Single,Female,40000.00,0,0,Partial College,Skilled Manual,1,1,2022-01-10
11155,Burbank,United States,AW00011155,Hunter Robinson,1981-07-25,Single,Male,40000.00,0,0,Partial College,Skilled Manual,0,1,2022-01-06
11156,Lakewood,United States,AW00011156,Maria Roberts,1981-08-06,Single,Female,40000.00,0,0,Partial College,Skilled Manual,0,1,2022-01-08
11157,Tacoma,United States,AW00011157,Hannah Long,1980-12-08,Married,Female,40000.00,0,0,High School,Skilled Manual,1,2,2022-07-24
11158,San Gabriel,United States,AW00011158,Jason Wright,1981-04-06,Single,Male,40000.00,0,0,High School,Skilled Manual,1,2,2022-01-19
11159,Woodland Hills,United States,AW00011159,Brianna Hughes,1981-03-16,Single,Female,40000.00,0,0,High School,Skilled Manual,0,2,2022-09-08
11160,Concord,United States,AW00011160,Maurice Tang,1979-07-08,Single,Male,40000.00,0,0,Partial College,Skilled Manual,0,1,2022-02-21
11161,Concord,United States,AW00011161,Emily Wood,1979-10-20,Single,Female,40000.00,0,0,Partial College,Skilled Manual,0,1,2022-06-01
11162,La Jolla,United States,AW00011162,Chase Cox,1979-09-02,Single,Male,40000.00,0,0,Partial College,Skilled Manual,1,1,2022-02-18
11163,Spring Valley,United States,AW00011163,Gabriel Wang,1980-06-18,Married,Male,40000.00,0,0,Partial College,Skilled Manual,1,1,2022-05-01
11164,Torrance,United States,AW00011164,Devin Brooks,1979-11-02,Single,Male,40000.00,0,0,Partial College,Skilled Manual,0,1,2022-04-27
11165,Oakland,United States,AW00011165,Jocelyn Alexander,1979-01-15,Married,Female,60000.00,0,0,Partial College,Skilled Manual,0,1,2022-05-25
11166,Olympia,United States,AW00011166,Ashley Martinez,1977-10-22,Single,Female,70000.00,0,0,Partial College,Skilled Manual,0,2,2022-10-14
11167,Issaquah,United States,AW00011167,Jasmine Barnes,1978-01-29,Single,Female,80000.00,0,0,Bachelors,Management,0,1,2022-01-07
11168,Oakland,United States,AW00011168,David Rodriguez,1973-11-12,Single,Male,80000.00,0,0,Bachelors,Management,0,1,2022-01-15
11169,Coronado,United States,AW00011169,Bryce Richardson,1973-12-20,Married,Male,90000.00,4,4,Bachelors,Management,1,1,2022-05-26
11170,Burien,United States,AW00011170,Carol Howard,1973-08-04,Married,Female,90000.00,4,4,Bachelors,Management,1,1,2022-08-26
11171,Woodland Hills,United States,AW00011171,Jonathan Hill,1978-10-05,Single,Male,100000.00,1,0,Bachelors,Management,1,2,2020-08-20
11172,Lynnwood,United States,AW00011172,Gabrielle Adams,1973-05-20,Married,Female,100000.00,1,0,Bachelors,Management,1,2,2022-05-03
11173,W. Linn,United States,AW00011173,Sarah Thomas,1973-02-28,Single,Female,110000.00,0,0,Graduate Degree,Management,0,4,2022-03-02
11174,Los Angeles,United States,AW00011174,Nicholas Robinson,1973-01-09,Married,Male,110000.00,0,1,Graduate Degree,Management,1,0,2022-07-13
11175,Beverly Hills,United States,AW00011175,Luis Wang,1968-09-01,Single,Male,70000.00,0,0,Partial College,Skilled Manual,1,2,2020-08-28
11176,Haney,Canada,AW00011176,Mason Roberts,1979-01-21,Married,Male,90000.00,4,4,Bachelors,Management,1,1,2022-02-02
11177,San Diego,United States,AW00011177,Jose Flores,1948-01-01,Married,Male,110000.00,2,4,Graduate Degree,Management,1,2,2022-03-29
11178,Lakewood,United States,AW00011178,Nathan Johnson,1954-08-20,Married,Male,100000.00,2,3,Graduate Degree,Management,1,3,2022-02-21
11179,Beverly Hills,United States,AW00011179,Molly Rodriguez,1959-12-08,Married,Female,120000.00,2,4,Graduate Degree,Management,1,3,2022-03-12
11180,Chula Vista,United States,AW00011180,April Anand,1948-07-01,Married,Female,160000.00,1,3,Bachelors,Management,1,4,2022-03-17
11181,Los Angeles,United States,AW00011181,Devin Martin,1960-02-01,Married,Male,170000.00,2,3,Graduate Degree,Management,1,2,2022-05-07
11182,Sedro Woolley,United States,AW00011182,Stephanie Torres,1950-02-22,Single,Female,70000.00,4,0,Bachelors,Management,1,2,2022-08-28
11183,Santa Cruz,United States,AW00011183,Jasmine Lee,1950-01-12,Single,Female,70000.00,4,0,Bachelors,Management,1,2,2022-04-30
11184,Concord,United States,AW00011184,Meghan Hernandez,1955-11-13,Single,Female,70000.00,4,0,Bachelors,Management,1,2,2022-08-10
11185,Metchosin,Canada,AW00011185,Ashley Henderson,1950-04-07,Single,Female,70000.00,4,0,Bachelors,Management,1,2,2022-02-21
11186,Palo Alto,United States,AW00011186,Sarah Price,1949-11-18,Single,Female,70000.00,4,0,Bachelors,Management,1,2,2022-10-18
11187,Burien,United States,AW00011187,Jennifer Cooper,1949-08-21,Married,Female,60000.00,4,0,Graduate Degree,Management,1,2,2022-04-03
11188,San Gabriel,United States,AW00011188,Catherine Morris,1950-03-06,Married,Female,60000.00,4,0,Graduate Degree,Management,0,2,2022-11-01
11189,Bellingham,United States,AW00011189,Lawrence Blanco,1950-01-12,Single,Male,60000.00,4,0,Graduate Degree,Management,1,2,2020-08-26
11190,Beverly Hills,United States,AW00011190,Carson Bryant,1949-12-20,Married,Male,70000.00,5,0,Bachelors,Management,1,2,2022-08-28
11191,Colma,United States,AW00011191,Kristi Perez,1951-06-17,Single,Female,70000.00,5,0,Bachelors,Management,1,3,2020-08-11
11192,Seattle,United States,AW00011192,James Brown,1951-03-13,Married,Male,60000.00,4,0,Bachelors,Management,1,2,2022-06-23
11193,Woodburn,United States,AW00011193,Ian Gray,1950-08-13,Married,Male,60000.00,4,0,Bachelors,Management,1,2,2022-02-25
